#options: 1920x1080 fps=50/1 timebase=1/50 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=2 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=10 rc=crf mbtree=1 crf=28.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:35.80 aq:26.57 tex:142501 mv:73690 misc:393 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:35.80 aq:27.94 tex:57835 mv:38114 misc:6123 imb:2981 pmb:1680 smb:3499 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:35.80 aq:26.65 tex:1175 mv:895 misc:2010 imb:12 pmb:439 smb:7709 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:35.80 aq:28.00 tex:9 mv:5 misc:394 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:35.80 aq:29.19 tex:1813 mv:1367 misc:2460 imb:18 pmb:557 smb:7585 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:35.80 aq:28.00 tex:80897 mv:45227 misc:5108 imb:4425 pmb:1530 smb:2205 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:35.80 aq:28.68 tex:27896 mv:34990 misc:6338 imb:1033 pmb:2184 smb:4943 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:35.80 aq:29.67 tex:1716 mv:1780 misc:2448 imb:32 pmb:546 smb:7582 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:35.80 aq:29.07 tex:2001 mv:1482 misc:2645 imb:21 pmb:641 smb:7498 d:- ref:0 ;
in:11 out:9 type:P dur:2 cpbdur:2 q:35.80 aq:27.24 tex:82736 mv:47836 misc:5292 imb:4311 pmb:1797 smb:2052 d:- ref:0 ;
in:9 out:10 type:B dur:2 cpbdur:2 q:35.80 aq:28.83 tex:24727 mv:33612 misc:6549 imb:921 pmb:2216 smb:5023 d:- ref:0 ;
in:10 out:11 type:b dur:2 cpbdur:2 q:35.80 aq:29.30 tex:1524 mv:2031 misc:2381 imb:37 pmb:509 smb:7614 d:- ref:0 ;
in:13 out:12 type:P dur:2 cpbdur:2 q:35.80 aq:26.95 tex:57374 mv:39537 misc:6561 imb:2754 pmb:1987 smb:3419 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:35.80 aq:29.72 tex:878 mv:1428 misc:2086 imb:23 pmb:437 smb:7700 d:- ref:0 ;
in:17 out:14 type:P dur:2 cpbdur:2 q:35.80 aq:26.69 tex:89738 mv:50370 misc:4676 imb:4634 pmb:1815 smb:1711 d:- ref:0 ;
in:15 out:15 type:B dur:2 cpbdur:2 q:35.80 aq:27.20 tex:2820 mv:2375 misc:2781 imb:54 pmb:612 smb:7494 d:- ref:0 ;
in:14 out:16 type:b dur:2 cpbdur:2 q:35.80 aq:27.66 tex:30 mv:9 misc:401 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:35.80 aq:30.74 tex:22727 mv:28476 misc:5773 imb:1123 pmb:1782 smb:5255 d:- ref:0 ;
in:21 out:18 type:P dur:2 cpbdur:2 q:35.80 aq:27.16 tex:80262 mv:46917 misc:5357 imb:4116 pmb:1773 smb:2271 d:- ref:0 ;
